Día,	Año,	Efemérides de Abril
1,	1895,	Desembarca el general Antonio Maceo y otros patriotas por la playa de Duaba.
 , 1923,	Es inaugurado en La Habana el Primer Congreso de Mujeres.
 , 1928,	Llega a La Habana por primera vez el escritor estadounidense Ernest Hemingway.
 , 1989,	Creación del Consejo Nacional de Artes Plásticas y el Consejo Nacional de las Artes Escenicas.
2,	1948,	Es asesinado el líder obrero Miguel Fernández Roig.
4,	1870,	José Martí ingresa en prisión y recibe el número 113.
 , 1960,	Son expropiados los latifundios de la United Fruit Co.
 , 1961,	Se constituye la Unión de Pioneros de Cuba.
 , 1962,	Constitución de la Unión de Jóvenes Comunistas.
5,	1538,	Combate naval en Santiago de Cuba por Diego Pérez y un corsario francés.
 , 1895,	Muere el filósofo y maestro José Agustín Caballero. Muere el Mayor General del Ejército Libertador José Guillermo Moncada Guillermón.
6,	1895,	Martí y Gómez llegan a Cabo Haitiano.
 , 1952,	Entierro simbólico en la Fragua Martiana de la Constitución de 1940.
 , 1962,	Se da a conocer la sentencia contra los mercenarios de Playa Girón.
7,	1930,	Nace en Santiago de Cuba la Heroína de la Revolución Cubana Vilma Spin Guillois.
8,	1968,	Fallece la destacada pintora cubana Amelia Peláez del Casal.
9,	1812,	Son ejecutados José Antonio Aponte y otros participantes en la conspiración que encabezó.
 , 1958,	Huelga revolucionaria contra Batista. Muere el revolucionario Marcelo Salado. Muere en combate en el ataque al Cuartel de Imías el Capitán Ciro Frías Cabrera integrante de la Columna 6 «Frank País»
10,	1869,	Es aprobada la Constitución de Guáimaro. Creación del Ejército Libertador.
 , 1892,	Constitución del Partido Revolucionario Cubano (PRC) bajo la dirección de José Martí.
 , 1895,	Caída en combate del Mayor General Flor Crombet.
 , 1967,	Cae en Bolivia el combatiente internacionalista Jesús Suárez Gayol El Rubio.
11,	1895,	José Martí y Máximo Gómez desembarcan por Playitas de Cajobabo.
12,	1869,	Carlos Manuel de Céspedes es investido como presidente de la República en Armas.
13,	1849,	Enrique José Varona nació el 13 de abril de 1849 en la entonces villa de Santa María del Puerto Principe actualmente nombrada Camagüey.
 , 1961,	Sabotaje en la tienda «El Encanto». Muere Fe del Valle.
14,	1895,	Designado Martí como Mayor General del Ejército Libertador por Máximo Gómez.
15,	1895,	José Martí es designado Mayor General del Ejército Libertador.
 , 1961,	Aviones procedentes de E.U. Guatemala y Nicaragua bombardean los aeropuertos de Ciudad Libertad San Antonio de los Baños y Santiago de Cuba. El balance fue de 7 muertos y 53 heridos.
