Día,	Año,	Efemérides de Agosto
1,	1828,	Comienza la colonización de Islas de Pinos (Isla de la Juventud).
 , 1958,	Mueren asesinados en el Castillo del Príncipe los revolucionarios Vicente Ponce Carrasco Reinaldo Gutiérrez y Roberto de la Rosa.
3,	1895,	Sale el primer número de «El Cubano Libre» dirigido por Maceo.
4,	1839,	Nace en Holguín el patriota Calixto García.
 , 1852,	Nace Claudio Brindis de Salas llamado el Paganini Negro.
 , 1994,	Es asesinado por elementos antisociales que deseaban secuestrar una embarcación de transporte de pasajeros de La Habana para emigrar a los EE.UU. el agente de la Policía Nacional Revolucionaria Sub Teniente Humberto Lamoth Caballero.
5,	1555,	El pirata Jacques de Sores desembarca y saquea La Habana.
 , 1944,	En la Habana se producen desórdenes antisociales por parte de grupos de delincuentes que tratan de emigrar a los EE.UU. animados por la propaganda yanqui. El pueblo con el Comandante en Jefe al frente logran desarticular los desórdenes sin utilizar la fuerza. Día de la Fidelidad a la Patria.
6,	1960,	Nacionalización de 26 empresas yanquis entre ellas la Compañía de Electricidad.
7,	1925,	Se constituye la Confederación Obrera de Cuba.
8,	1898,	Presenta su renuncia el General Calixto García en memorable carta.
11,	1888,	Muere el célebre agrónomo Alvaro Reynoso.
 , 1966,	Creación de la OCLAE.
12,	1933,	Mediante la huelga general es derrocado el dictador Gerardo Machado.
13,	1957,	Son asesinados por la tiranía los hermanos Luis y Sergio Saíz y Montes de Oca.
14,	1762,	Comienza la dominación inglesa en La Habana.
16,	1814,	Nace en Matanzas el poeta José Jacinto Milanés.
 , 1925,	Se constituye el Partido Comunista de Cuba.
 , 1951,	Muere Eduardo Chibás fundador del Partido Ortodoxo.
17,	1870,	Es fusilado en Santiago de Cuba el autor del Himno Nacional «Perucho Figueredo»
19,	1823,	Es abortada la conspiración de los «Rayos y Soles de Bolívar».
 , 1915,	Muere el sabio médico cubano Carlos J. Finlay descubridor del agente transmisor de la fiebre amarilla el mosquito aedes aegypti.
21,	1871,	Es fusilado en la Cabaña el poeta Juan Clemente Zenea.
 , 1958,	El Comandante Fidel Castro firma en la Sierra Maestra la orden para la invasión a Las Villas.
23,	1960,	Fundación de la Federación de Mujeres Cubanas.
24,	1878,	Comienza a circular papel moneda en Cuba.
26,	1879,	Se inicia la «Guerra Chiquita».
31,	1895,	Libra el ejército mambí al mando de Maceo el combate de Sao del Indio.
 , 1958,	Comienza la invasión de Oriente a Occidente comandada por Camilo Cienfuegos y Ernesto Che Guevara inolvidables comandantes ya desaparecidos.
