Día,	Año,	Efemérides de Diciembre
1,	1958,	Firmado en el Escambray el Pacto de El Pedrero entre el M-26-7 y el Directorio Revolucionario 13 de Marzo. Se hace un llamado a la unidad de las fuerzas revolucionarias en Las Villas. Lo firman el Che y Faure Chaumón.
2,	1873,	Máximo Gómez libra victoriosamente la batalla de Palo Seco en Camagüey.
 , 1956,	Desembarco del yate Granma.
 , 1958,	Es detenido y hecho desaparecer el estudiante Fulgencio Oroz.
 , 1959,	Instituido como Día de las Fuerzas Armadas Revolucionarias (FAR).
3,	1833,	Nace en Camagüey el sabio Carlos J. Finlay descubridor del agente transmisor de la fiebre amarilla.
5,	1956,	Los expedicionarios del Granma libran el combate de Alegría de Pío.
7,	1896,	Caída del lugarteniente general Antonio Maceo y de su ayudante Francisco Gómez Toro Panchito. Día de los caídos en nuestras guerras de independencia. Instituido desde 1989 como Día de Tributo a los combatientes caídos en misiones internacionalistas.
 , 1993,	Fundación de la Asociación de Combatientes de la Revolución Cubana (ACRC).
9,	1931,	Nace en Artemisa Ciro Redondo atacante del cuartel Moncada y expedicionario del Granma. Murió en el combate de Marverde.
10,	1898,	Tratado de París. Los yanquis desconocen a los cubanos y se reparten Puerto Rico Guam y Filipinas.
11,	1898,	Muere el General Calixto García Íñiguez.
 , 1957,	Es asesinado el estudiante Renato Recio.
13,	1957,	Envía Fidel una carta de rechazo del M-26-7 al Pacto de Miami suscrito por la mayoría de los partidos de la oposición a Batista.
14,	1911,	Nace en Encrucijada Las Villas Jesús Menéndez Larrondo líder de los trabajadores azucareros.
15,	1895,	Batalla de Mal Tiempo librada victoriosamente por Máximo Gómez y Antonio Maceo.
 , 1956,	Asesinado Juan Manuel Márquez segundo al mando de los expedicionarios del yate Granma.
17,	1975,	Se inicia en el teatro Karl Marx el Primer Congreso del PCC.
18,	1958,	Fidel y Raúl se reúnen en Jiguaní y de ahí surge el comienzo de la cuarta etapa de la ofensiva del II Frente Oriental.
19,	1936,	Cae en España el cubano Pablo de la Torriente Brau revolucionario internacionalista.
20,	1899,	Nace en Alquízar actual provincia de La Habana Rubén Martínez Villena destacado intelectual y revolucionario.
21,	1830,	Natalicio del general del Ejército Libertador Bartolomé Masó.
22,	1961,	Cuba se declara como Territorio Libre de Analfabetismo. Día del Educador.
23,	1841,	Natalicio de Ignacio Agramonte El Mayor.
 , 1956,	Entre esta fecha y el día 26 son asesinados en la zona norte oriental un numeroso grupo de revolucionarios y militantes comunistas. Estos actos son tristemente conocidos como Las Pascuas Sangrientas.
24,	1992,	Fallece el comandante Faustino Pérez Hernández.
26,	1665,	Es saqueada la ciudad de Sancti Spíritus por el filibustero Pierre Le Grand.
27,	1668,	Carlos Manuel de Céspedes expide el Decreto en Armas para la abolición de la esclavitud.
29,	1895,	Combate de Coliseo Matanzas. Máximo Gómez y Antonio Maceo derrotan al general español Arsenio Martínez Campos.
30,	1958,	Cae en combate en Santa Clara Roberto Rodríguez Fernández El Vaquerito jefe del pelotón suicida de la Columna No.8 Ciro Redondo.
 , 1977,	Fidel Castro habla en el acto de inauguración del tramo del ferrocarril rápido Habana-Santa Clara.
31,	1824,	Batalla de Ayacucho fin de la dominación española en Perú.
 , 1945,	Fundación de la Federación Democrática Internacional de Mujeres (FDIM).
 , 1958,	Toma de Yaguajay dirigida por Camilo. Toma de Santa Clara dirigida por el Che.
 , 1960,	Primera gran movilización de las Fuerzas Armadas Revolucionarias después del triunfo revolucionario. Se ordena la movilización general ante la amenaza de una invasión yanqui.
