Día,	Año,	Efemérides de Enero
1,	1899,	Primera intervención de Estados Unidos en nuestro país.
 , 1957,	Aparecen en Santiago de Cuba los cadáveres de los revolucionarios William Soler Ledea de 15 años y Froilán Guerra Ramírez de 17.
 , 1959,	Triunfo de la Revolución dirigida por el comandante Fidel Castro Ruz.
2,	1959,	Llega a La Habana la Columna Antonio Maceo comandada por el inolvidable Comandante Camilo Cienfuegos.
3,	1896,	Llega la invasión a La Habana con Maceo y Gómez.
5,	1959,	El Gobierno Revolucionario disuelve el Congreso de la República y declara extinguidos los nombramientos de alcaldes gobernadores y concejales.
 , 1961,	Es asesinado el maestro Conrado Benítez.
7,	1896,	Victoria de las tropas dirigidas por Máximo Gómez en Ceiba del Agua. Maceo llega a las puertas de Pinar del Río.
8,	1940,	Nace Sergio Saíz y Montes de Oca en San Juan y Martínez. Fue asesinado junto a su hermano por esbirros el 13 de agosto de 1957.
 , 1959,	Entrada triunfal del Ejército Rebelde en La Habana con el comandante Fidel Castro Ruz al frente.
10,	1929,	Es asesinado en México el líder revolucionario Julio Antonio Mella.
12,	1869,	Los patriotas cubanos incendian su primera capital Bayamo ante el avance de las fuerzas españolas.
14,	1934,	Antonio Guiteras decreta la intervención de la Compañia Cubana de Electricidad en realidad una filial de una empresa yanqui.
15,	1953,	Es herido de muerte el estudiante Rubén Batista cuando participaba en una manifestación estudiantil.
16,	1934,	Muere Rubén Martínez Villena combatiente incansable del proletariado cubano.
17,	1896,	Antonio Maceo libra el combate de las Taironas Pinar del Río.
19,	1869,	José Martí publica su primer artículo en el periódico «El Diablo Cojuelo».
22,	1869,	Sucesos sangrientos en el teatro Villanueva.
 , 1948,	Es asesinado en Manzanillo el líder azucarero Jesús Menéndez.
23,	1869,	José Martí publica en el periódico «La Patria Libre» su poema dramático «Abdala».
 , 1896,	Termina en Mantua la campaña de la Invasión Antonio Maceo.
 , 1998,	El papa Juan Pablo II comienza su visita a Cuba primera de un sumo pontífice a la Isla. Es recibido por el Comandante en Jefe Fidel Castro Ruz.
26,	1855,	Es descubierta la conspiración del catalán Ramón Pintó.
27,	1924,	Primer homenaje en Cuba a Lenin. Se siembra un olivo en Regla en la loma del fortín conocida desde entonces como Colina Lenin.
 , 1959,	Muere accidentalmente en Caracas Venezuela el Comandante rebelde Francisco «Paco» Cabrera.
28,	1853,	Nace José Julián Martí y Pérez apóstol de nuestra independencia.
 , 1960,	Entrega el gobierno revolucionario al MINED el Cuartel Moncada y es convertido en la Ciudad Escolar 26 de Julio.
29,	1895,	José Martí firma la orden de alzamiento y dispone del reinicio de la guerra de independencia orden que sería cumplida el 24 de febrero.
 , 1961,	Comienza la primera zafra del pueblo.
