Día,	Año,	Efemérides de Febrero
1,	1751,	Fundación de Holguín (se llamó primeramente San Isidoro de Holguín).
 , 1873,	Muere la poetisa Gertrudis Gómez de Avellaneda.
2,	1514,	Se funda la villa de Santa María del Puerto de Príncipe hoy Camagüey.
 , 1849,	Nace José Maceo y Grajales en Majaguabo Oriente.
3,	1934,	Muere tuberculoso el revolucionario Gabriel Barceló.
4,	1891,	José Martí participa en la Comisión Monetaria Internacional Americana.
 , 1919,	Nace el revolucionario Fernando Chenard Piña. Murió en el asalto al Moncada.
 , 1959,	El gobierno de los EE.UU. amenaza con rebajar la cuota azucarera cubana por las medidas revolucionarias que se estaban aplicando.
 , 1962,	Segunda Declaración de La Habana.
6,	1879,	Autorizan a José Martí a impartir clases de segunda enseñanza en La Habana.
 , 1932,	Nace el Comandante Camilo Cienfuegos Gorriarán.
 , 1962,	Se crea la Dirección Nacional de Círculos Infantiles.
7,	1901,	Muere en Madrid Ana Betancourt pionera del movimiento por la emancipación de la mujer.
 , 1958,	Es detenido y asesinado el revolucionario Gerardo Abreu (Fontán).
 , 1959,	El Guerrillero Heroico Comandante Ernesto Che Guevara es declarado ciudadano cubano.
9,	1873,	El mayor general Ignacio Agramonte combate en san Miguel Puerto Príncipe.
11,	1959,	Se inicia en Ciudad Libertad curso de alfabetización para miembros del Ejército Rebelde.
12,	1867,	Fracaso de la Junta de Información.
13,	1953,	Muere el estudiante Rubén Batista a consecuencia de las heridas recibidas durante la manifestación estudiantil del 15 de enero. Asesinato del líder comunista Paquito Rosales en Manzanillo.
15,	1898,	Explosión del Maine hecho volar por los propios Estados Unidos en plena bahía habanera para intervenir en la guerra Hispano-Cubana.
16,	1903,	Estrada Palma firma el «acuerdo» de cesión del territorio de Caimanera a Estados Unidos.
19,	1963,	Muere el célebre cantante popular Benny Moré.
20,	1962,	El Gobierno Revolucionario crea la Comisión Nacional de la Academia de Ciencias de Cuba.
21,	1723,	Sublevación y muerte de los vegueros en Jesús del Monte.
 , 1901,	Se firma en La Habana la Constitución de 1901. Permaneció inalterable hasta 1928.
22,	1877,	Muere el patriota Francisco Vicente Aguilera.
23,	1896,	Antonio Maceo llega a Matanzas.
24,	1832,	Nace en Bayamo el poeta Juan Clemente Zenea.
 , 1895,	Reinicio de las guerras de independencia con alzamientos en Matanzas Las Villas y Oriente.
25,	1802,	Nace en La Habana el famoso obispo Espada.
 , 1853,	Muere el filósofo Félix Varela.
 , 1931,	Nace el revolucionario Rafael Freyre Torres. Murió en el ataque al Cuartel Moncada.
26,	1869,	La Asamblea Patriótica de Camagüey declara abolida la esclavitud.
 , 1962,	Comienza la primera campaña de vacunación antipolio.
27,	1874,	Muere combatiendo frente a tropas españolas el padre de la patria Carlos Manuel de Céspedes líder de la gesta del 68.
