Día,	Año,	Efemérides de Julio
1,	1829,	Nace el poeta Juan Cristóbal Nápoles Fajardo (El Cucalambé).
 , 1871,	Es fusilado en Nuevitas Federico Fernández Cavada.
 , 1940,	Es firmada la Constitución de la República en ceremonia solemne efectuada en el centro escolar Salvador Cisneros Betancourt en el poblado camagüeyano de Guáimaro donde el 10 de abril de 1869 se promulgó la primera Constitución de la República en Armas.
 , 1960,	El primero de julio de son intervenidas las subsidiarias de las dos principales transnacionales petroleras que operaban en Cuba: Esso (norteamericana) y Shell (inglesa) por desacatar la orden del Gobierno Revolucionario de procesar el combustible suministrado por la Unión Soviética. Con esta medida unida a la intervención por igual motivo de la estadounidense Texaco -ocurrida dos días antes- la Revolución derrota la maniobra imperialista tendiente a dejar al pais sin combustible y paralizar la economía.
 , 1968,	Es distribuido a todo el pueblo el Diario del Che en Bolivia con prólogo del Comandante en Jefe Fidel Castro.
 , 1986,	Queda inaugurado por Fidel en la capital del país el Centro de Ingeniería Genética y Biotecnología.
2,	1626,	Son rechazados en La Habana corsarios holandeses al mando de Hans Van-Dorr.
3,	1898,	Batalla naval de Santiago de Cuba. Fin de la escuadra española al mando de Pascual Cervera.
 , 1915,	Nace el expedicionario del Granma Juan Manuel Márquez.
4,	1936,	Muere el poeta Bonifacio Byrne.
5,	1896,	Muere en el combate de Loma del Gato el General José Maceo
 , 1934,	Muere Agustín Martin Veloz. Martinillo destacado luchador y fundador del Partido Socialista en Manzanillo. 
6,	1763,	Retirada de los ingleses de La Habana.
 , 1885,	José Martí expone su concepto de líder en carta a Enrique Trujillo director de El Avisador Cubano: »Unos ven para ahora y son los mas y cuya vista alcanza menos. Otros ven para ahora y para luego que es como se debe ver en las cosas de los pueblos para quienes lo presente no es mas que la manera de ir al porvenir».
 , 1973,	Por primera vez se festeja el Día de los Niños. Fidel y Raúl se reúnen con una representación de pioneros de todo el país.
 , 1982,	Fallece Raúl Roa García revolucionario consecuente y vigoroso intelectual que con su ejemplar actuación como ministro de Relaciones Exteriores del Gobierno Revolucionario se ganó el nombre de Canciller de la Dignidad.
9,	1898,	La escuadra yanqui bombardea Santiago de Cuba.
 , 1958,	Son asesinados los revolucionarios Pedro Martínez Brito y José Rodríguez Vedo (Tato)
11,	1800,	Nace en La Habana el poeta José de la Luz y Caballero.
12,	1854,	Nace el delegado de Martí en Cuba Juan Gualberto Gómez.
13,	1895,	Batalla de Peralejo. Importante victoria de los mambises dirigido por Antonio Maceo.
