Día,	Año,	Efemérides de Junio
1,	1834,	Se instaura el gobierno autoritario de Miguel Tacón.
2,	1912,	Muere en Buenos Aires el violinista cubano Claudio José Brindis de Salas.
3,	1805,	Fundación de Mariel.
6,	1762,	La escuadra británica se presenta en La Habana.
 , 1961,	Se crea el Ministerio del Interior.
7,	1762,	Desembarco de las tropas inglesas por Cojímar.
 , 1812,	Nace el padre de la bibliografía cubana Antonio Bachiller y Morales.
9,	1955,	Es asesinado por la tiranía el revolucionario Jorge Agostini.
10,	1896,	Batalla de Saratoga. Triunfo del Ejército Mambí.
11,	1798,	Sublevación de esclavos en el departamento de Puerto Príncipe (Camagüey).
12,	1766,	Un terremoto causa grandes daños en Santiago de Cuba.
 , 1901,	Estados Unidos impone a Cuba la Enmienda Platt.
13,	1910,	Muere Fermín Valdés Domínguez compañero de Martí.
14,	1845,	Nace el General Antonio Maceo. Por coincidencia histórica también nace este día en Argentina el Guerrillero Heroico Comandante Ernesto Che Guevara.
 , 1907,	Muere Bartolomé Masó
15,	1958,	Son asesinados por esbirros las hermanas Giralt.
 , 1966,	Muere el poeta Miguel Navarro Luna.
16,	1959,	Se crea la Agencia de Noticias Prensa Latina.
17,	1905,	Muere el General Máximo Gómez.
18,	1926,	Muere el pionero del movimiento marxista Carlos Baliño el patriota que simboliza el enlace directo entre el Partido Revolucionario Cubano y el primer Partido Comunista de Cuba de los cuales fue fundador.
 , 1959,	El Comandante Ernesto Che Guevara es proclamado Gran libertador de los oprimidos en la República Arabe Unida adonde había llegado en visita oficial dos días antes.
 , 1960,	En el programa de televisión Cuba avanza el Che ofrece una conferencia sobre la posición y los debates de la clase obrera ante la industrialización del país.
19,	1896,	Libra el Ejército Libertador el combate de Lomas de Tapia.
 , 1907,	Muere en La Habana Leonor Pérez madre de Martí.
20,	1819,	Nace en Matanzas el escritor Antonio Guiteras y Font autor de una traducción en verso libre de los cuatro primeros libros de la Eneida elogiada por críticos cubanos y extranjeros.
 , 1874,	El 20 de junio Máximo Gómez-General en Jefe del Ejercito Libertador entrega el mando de la primera división camagüeyana al brigadier Henry Reeve-El Inglesito. Con pericia y arrojo llevó sus tropas hasta pocas leguas de Matanzas este internacionalista nacido en Estados Unidos que en el verano de 1876 caería combatiendo en aras de la causa independentista cubana.
 , 1898,	Bloqueo de la escuadra yanqui a Santiago de Cuba.
 , 1959,	Ante el incremento de las acciones terroristas el Gobierno Revolucionario aprueba el establecimiento de la pena de muerte para delitos contrarrevolucionarios.
 , 1959,	Durante una visita oficial a la República Arabe Unida (hoy Egipto) el Comandante Ernesto Che Guevara viaja a la ciudad de Alejandría y también conoce el monumento a los mártires en Port Said que recuerda a los caídos durante la invasión anglo-franco-israelí de 1956.
21,	1791,	Grandes temporales en la región occidental producen enormes desastres.
 , 1845,	Termina la construcción del faro del Morro de La Habana.
 , 1959,	El 21 de junio el Comandante en Jefe Fidel Castro habla a los campesinos de la oriental Baracoa a quienes plantea organizarse en patrullas armadas. Porque quiero saber -afirma- quien seria capaz de entrar en estas montañas a combatir contra nuestros campesinos donde ellos conocen todos los arroyos todos los ríos todos los firmes todos los trillos todas las barrancas todas las piedras. Por la tarde pronuncia un discurso ante una concentración popular en el Parque Leoncio Vidal de Santa Clara donde asegura: El pueblo de Cuba como en aquellos versos seráficos puede repetir: Si morimos que es la vida por perdida ya la dimos cuando el yugo del esclavo como bravos sacudimos.
22,	1862,	Muere el maestro y filósofo José de la Luz y Caballero.
 , 1898,	Desembarco de tropas yanquis en Daiquirí-Oriente.
23,	1817,	Es suprimida la factoría de tabacos.
 , 1821,	En Bayamo nace el patriota Francisco Vicente Aguileña iniciador y organizador de la guerra del 68.
 , 1861,	Se inaugura el primer tramo de ferrocarril desde La Habana a Bejucal.
 , 1958,	Es asesinado el revolucionario Eduardo García Lavandero.
 , 1959,	Fidel comparece por Televisión Camagüey para explicar por que el INRA había intervenido ese día los latifundios ganaderos de más de 100 caballerías en esa provincia ante las maniobras con que sus dueños pretendían entorpecer el curso de la reforma agraria. «Bajo el gobierno de la Revolución no van a poder seguir campeando por sus respetos imponiendo sus intereses egoístas a los intereses de la nación advierte el Comandante en Jefe.
 , 1961,	Al ofrecer la primera de un ciclo de conferencias para adiestrar al personal del Ministerio de Industrias en la elaboración de los planes económicos el Comandante Ernesto Guevara señala que se entraba en un periodo nuevo de la historia de Cuba pues se había acabado en líneas generales la tarea de destrucción de toda la estructura del antiguo régimen y había que iniciar la de creación revolucionaria.» Una revolución no puede consolidarse y no puede marchar hacia adelante si no es precisamente apoyándose en sus logros económicos -recalca».
24,	1806,	En Santiago de Cuba nace el literato Juan Bautista Sagarra y Blez fundador de la Sociedad Patriótica de su ciudad natal y autor de numerosos trabajos sobre economía y agricultura.
 , 1821,	Cae en la batalla de Carabobo-Colombia el internacionalista bayamés José Manuel Cedeño General de los ejércitos de Bolívar.
 , 1845,	Nace Jesús Rabí que peleó con Maceo y cuyo verdadero nombre era Jesús Sablón Moreno.
 , 1898,	Comienza el desembarco de tropas norteamericanas por Siboney. Se produce un grave incidente: al desalojar las tropas yanquis la casa donde radicaba el cuartel general de Demetrio Castillo Duany arriaron la bandera cubana e izaron la norteamericana.
 , 1959,	En la continuación de su viaje a la República Arabe Unida (hoy Egipto) el comandante Ernesto Guevara se entrevista con Salah Salem destacada figura del movimiento nacionalista de ese país. Durante el dialogo el Che explica a su interlocutor que las agencias cablegráficas norteamericanas se habían confabulado para tergiversar la verdad de los acontecimientos en el mundo e impedir que los pueblos puedan conocerse.
