Día, Año, Efemérides de Marzo
1,	1958,	La columna Frank País. Comandada por el Comandante Raúl Castro parte de la Sierra Maestra hacia la Sierra Cristal para abril el Segundo Frente Oriental.
2,	1939,	Muere el compositor Amadeo Roldán.
3,	1959,	El gobierno revolucionario dispone la intervención de la «Cuban Telephone Company» y de la Cooperativa de Omnibus Aliados los Autobuses y la rebaja de las tarifas telefónicas.
4,	1870,	Martí es condenado a 6 años de prisión por un Consejo de Guerra español.
 , 1960,	Explosión en los muelles del buque francés La Coubre por un criminal sabotaje de la CIA con un saldo de más de 70 muertos.
5,	1933,	Muere el patriota Juan Gualberto Gómez.
 , 1960,	El Comandante Fidel Castro pronuncia el discurso fúnebre en el sepelio de las víctimas de La Coubre y dice por primera vez la consigna Patria o Muerte.
8,	1931,	Se celebra por primera vez en Cuba la Jornada Internacional de la Mujer en el local del Centro Obrero de Cuba. Fue disuelta por la policía.
 , 1942,	Muere el genial ajedrecista José Raúl Capablanca.
10,	1959,	El Comandante Camilo Cienfuegos derriba la posta 6 de Columbia.
11,	1896,	Antonio Maceo combate en Nueva Paz.
 , 1949,	Marines yanquis afrentan la estatua del apóstol José Martí en el Parque Central.
13,	1896,	La columna invasora asalta Batabanó.
 , 1957,	Asalto a la guarida del tirano Batista en el Palacio Presidencial. Muerte de José Antonio Echeverría.
15,	1874,	Combate de las Guásimas. Finalizó el 19.
 , 1878,	Protesta de Baraguá. Maceo anuncia al gobierno español que continuará la lucha.
16,	1960,	Se crea la Junta Central de Planificación.
17,	1896,	Muere el científico alemán Juan Cristóbal Gundlach que estudió profundamente la fauna cubana.
18,	1958,	Muere asesinado el revolucionario Sergio González (El Curita).
19,	1828,	Inauguración de El Templete de La Habana.
20,	1930,	Primera huelga general contra el dictador Machado.
21,	1962,	El Comandante Fidel Castro recibe el Premio Lenin de la Paz.
22,	1768,	Introducción del café en Cuba. En 1797 existían 5 en el Wajay.
 , 1959,	Se efectúa frente al Palacio Presidencial el primer desfile y concentración popular.
25,	1895,	Manifiesto de Montecristi redactado por Martí y Gómez.
26,	1849,	Nace en la calle Obrapía el patriota Manuel Sanguily.
28,	1957,	Muere en el combate de El Uvero el sargento del ejército rebelde Francisco Soto Hernández.
29,	1868,	El filibustero Henry Morgan saquea Puerto Príncipe (hoy Camagüey).
 , 1962,	Se inicia el juicio contra los mercenarios de la derrota invasora a Playa Girón.
30,	1849,	Muere el científico Tomás Romay introductor de la vacunación en nuestro país.
31,	1589,	Comienzan las obras de fortificación de La Habana por Juan de Tejeda y el ingeniero Bautista Antonelli.
 , 1855,	Es ejecutado en la Punta el patriota Francisco D’Strampes Gómez.
