Día,	Año,	Efemérides de Mayo
1,	1961,	Nacionalización de las escuelas privadas. Es inaugurada la emisora Radio Habana-Cuba.
2,	1959,	El Comandante Fidel Castro asiste a la reunión de los 21.
3,	1960,	Llegan a la Sierra Maestra los primeros maestros voluntarios.
5,	1895,	Reúnese en la Mejorana Martí Gómez y Maceo.
7,	1797,	Nace en Bayamo José Antonio Saco.
 , 1839,	Muere en México José María Heredia.
 , 1870,	Muere en garrote vil el patriota Domingo Goicuría.
8,	1796,	Introducción en Cuba de la caña de azúcar llamada Otahití o Taití.
 , 1935,	Es asesinado en el Morrillo-Matanzas Antonio Guiteras Holmes.
 , 1967,	Cae en una playa venezolana el revolucionario cubano Antonio Briones Montoto.
10,	1869,	Incendio de Guáimaro.
11,	1873,	Muere en los campos de Jimaguayú el general Ignacio Agramonte.
15,	1795,	Fundación de San Antonio Abad o de los Baños.
 , 1955,	Salen de Isla de Pinos Fidel y sus compañeros del asalto al cuartel Moncada.
 , 1956,	Es asesinado el joven revolucionario Rubén Aldama.
16,	1938,	Aparece el primer n?mero del periódico «HOY».
 , 1961,	Constitución de la Asociación Nacional de Agricultores Pequeñ (ANAP).
17,	1959,	Se promulga en «La Plata»-Sierra Maestra la Ley de Reforma Agraria.
 , 1962,	Constitución del Instituto de Historia.
19,	1895,	Muere en Dos Ríos el apóstol José Martí.
20,	1902,	Instauración de la República mediatizada bajo la presidencia de Estrada Palma.
 , 1912,	Inicio de la llamada «Guerra de los Independientes de Color». Terminó con una horrible matanza de los sublevados.
22,	1765,	Nace el economista Francisco de Arango y Parreño.
 , 1903,	Tratado permanente entre Cuba y Estados Unidos. Los yanquis impusieron durante muchos años la Enmienda Platt (1934).
23,	1866,	Nace el sabio Tranquilino Sandalio de Noda.
24,	1957,	Desembarco de los expedicionarios del Corinthía.
25,	1848,	Intento de anexión de Cuba por James K. Polk.
26,	1964,	Es inaugurado el Museo de Historia Natural de la Academia de Ciencias Felipe Poey.
28,	1957,	Batalla de El Uvero. Triunfo de las armas rebeldes contra las fuerzas de la tiranía. Son masacrados en Cabonico los expedicionarios del Corinthía.
29,	1586,	El pirata Francis Drake aparece a la vista del puerto de La Habana.
 , 1934,	Queda abolida la Enmienda Platt.
31,	1898,	La escuadra de Estados Unidos bombardea la ciudad de Santiago de Cuba e interviene en la guerra hispano-cubana.
 , , Nota: El segundo domingo de este mes se celebra el Día de las Madres.
