Día,	Año,	Efemérides de Noviembre
3,	1923,	Inaugurada la Universidad popular José Martí organizada y dirigida por Julio Antonio Mella
4,	1868,	Alzamiento de Las Clavellinas en Camagüey.
6,	1903,	Muere Diego Vicente Tejera poeta precursor de las ideas socialistas en Cuba.
7,	1863,	Nace Julián del Casal poeta precursor del movimiento modernista.
8,	1958,	Son asesinados Angel Amejeiras (Machaco) Pedro Rodríguez y Rogelio Perea (Rogito).
11,	1868,	Se jura la bandera patria en Sibanicú.
 , 1934,	Victoria del movimiento de masas campesino en Realengo 18 bajo la consigna de Tierra o Sangre. Ellos se habían alzado en armas reclamando su derecho a la tierra.
13,	1845,	Nace en Santa Clara Marta Abreu.
 , 1906,	Constitución del Partido Socialista de Cuba producto de la fusión de la Agrupación Socialista Internacional y el Partido Obrero Socialista.
14,	1958,	Columnas del II Frente Oriental toman el Cuartel de Imías.
15,	1863,	Muere el poeta matancero José Jacinto Milanés.
16,	1999,	Se efectúa la 9na. Cumbre de Jefes de Estados de Iberoamérica en la Habana.
18,	1836,	Natalicio del Generalísimo Máximo Gómez.
 , 1903,	Carlos Baliño funda el Club de Propaganda Socialista.
19,	1837,	Inauguración de la primera línea férrea de La Habana a Bejucal.
 , 1888,	Nace José Raúl Capablanca genial ajedrecista mundial.
 , 1933,	Muere el maestro de juventudes Enrique José Varona.
20,	1957,	Asesinato del líder de los trabajadores de transporte y dirigente comunista José María Pérez Capote.
 , 1958,	Batalla de Guisa: el Ejército Rebelde pone en fuga a las tropas de la tiranía.
23,	1958,	Camilo Cienfuegos y su columna atacan y ocupan el Cuartel de Zulueta en Las Villas.
 , 1959,	En la construcción de una Ciudad Escolar en el Caney de las Mercedes el Che realiza la primera jornada de trabajo voluntario en Cuba.
24,	1884,	Muere el maestro del apóstol José Martí Rafael Ma. Mendive.
25,	1956,	Zarpa desde Tuxpán México la expedición del Granma.
 , 1958,	Muere en la batalla de Guisa Braulio Coroneaux.
 , 1959,	El Consejo de Ministros designa a Ernesto Guevara como Presidente del Banco Nacional de Cuba.
 , 2016,	Muere el Comandante en Jefe Fidel Castro Ruz líder de la Revolución cubana a los 90 años.
26,	1961,	Son asesinados por contrarrevolucionarios el brigadista Manuel Ascunce Domenech y el campesino Pedro Lantigua.
 , 1963,	Es aprobada la Ley del Servicio Militar Obligatorio (SMO).
27,	1788,	Nace el filósofo Félix Varela Morales.
 , 1871,	Fusilamiento de los ocho estudiantes de Medicina.
 , 1893,	Fallece Mariana Grajales madre de los Maceo.
 , 1953,	Es asesinado el revolucionario Mario Fortuny.
 , 1958,	Fuerzas del II Frente Oriental Frank País atacan y toman el cuartel de Alto Songo.
29,	1895,	La columna invasora atraviesa la Trocha de Morón.
 , 1957,	Caída en combate del destacado revolucionario Ciro Redondo.
 , 1960,	Muere el comandante Manuel Fajardo (Piti) luchando contra los alzados en el Escambray.
30,	1665,	Se concede a La Habana el escudo de armas.
 , 1956,	Alzamiento en Santiago de Cuba en apoyo al desembarco del Granma. Mueren los revolucionarios Pepito Tey Otto Parellada y Tony Alomá.
 , 1958,	Culmina la batalla de Guisa con victoria del Ejército Rebelde.
