Día,	Año,	Efemérides de Octubre
1,	1954,	Es elegido presidente de la FEU José Antonio Echeverría.
3,	1961,	Asesinato del alfabetizador Delfín Sen Cedré.
 , 1965,	Constitución del Comité Central del Partido Comunista de Cuba.
4,	1896,	Triunfo del ejército mambí en Ceja del Negro.
 , 1921,	Constitución de la Federación Obrera de la Habana.
 , 1963,	El gobierno revolucionario aprueba la segunda Ley de Reforma Agraria.
 , , El devastador ciclón «Flora» comienza a azotar la provincia de Oriente.
6,	1958,	Los Comandantes Camilo Cienfuegos y Che Guevara cruzan la trocha de Júcaro.
 , 1976,	Es saboteado y explota en pleno vuelo un avion cubano de pasajeros con 73 personas a bordo. Perecen todos los atletas del equipo juvenil nacional de esgrima la tripulacion y otros ciudadanos cubanos. El crimen fue ejecutado por contrarrevolucionarios.
8,	1871,	Rescate del Brigadier Julio Sanguily por tropas bajo el mando del Mayor General Ignacio Agramonte.
 , 1960,	Creado el Instituto Cubano de Amistad con los Pueblos (ICAP).
 , 1967,	Combate de la Quebrada del Yuro. Es apresado por el ejército boliviano el comandante Ernesto Che Guevara. Caída del Che en Bolivia junto a los combatientes Orlando Pantoja Tamayo René Martínez Tamayo y Alberto Fernández Montes de Oca.
10,	1868,	Comienzo de la Guerra de los 10 años. Céspedes da el grito de libertad en La Demajagua.
 , 1958,	Creación del IV Frente Rebelde Simón Bolivar.
 , , Se promulga la Ley Agraria en La Plata Sierra Maestra para los territorios liberados por el Ejército Rebelde.
11,	1868,	Céspedes libera al poblado de Yara. Primer combate del Ejército Libertador.
12,	1967,	Cae en Bolivia el combatiente internacionalista Octavio de la Concepción de la Pedraja.
13,	1960,	Nacionalización de las bancas extranjeras y nacionales en Cuba.
14,	1960,	El gobierno revolucionario dicta la Ley de Reforma Agraria.
15,	1923,	Se inaugura el Primer Congreso Nacional de Estudiantes organizado y dirigido por Julio Antonio Mella. Allí se aprobó la fundación de la Universidad Popular José Martí.
16,	1953,	El Comandante Fidel Castro asume su propia defensa en el juicio por los sucesos del Moncada.
 , 1959,	Se crea el Ministerio de las Fuerzas Armadas Revolucionarias (MINFAR).
17,	1948,	Es asesinado el dirigente portuario Aracelio Iglesias.
20,	1868,	Culmina la toma de la ciudad de Bayamo por las tropas independentistas de Carlos Manuel de Céspedes.
 , 1927,	Nace en Encrucijada Abel Santamaría heroico asaltante del Moncada 21.
 , 1948,	Asesinato de Sabino Pupo Milián dirigente campesino de Camagüey.
 , 1980,	Se instituye el Día de la Cultura Nacional.
21,	1896,	Dicta Weyler el Bando de Reconcentración.
 , 1960,	Integración del Movimiento Juvenil Cubano.
22,	1865,	Aparece el primer número del semanario proletario «La Aurora».
 , 1895,	Invasión. El General Antonio Maceo parte desde los Mangos de Baraguá.
 , 1962,	Se inicia la Crisis de Octubre. El gobierno revolucionario decreta la alarma de combate.
23,	1887,	Muere el Ingeniero Francisco Albear creador del acueducto de La Habana.
24,	1960,	Nacionalización de las Empresas norteamericanas como respuesta al bloqueo de Estados Unidos.
25,	1983,	Constructores cubanos combaten contra las tropas yanquis que invaden Granada.
26,	1868,	Primer carga al machete del Ejército mambí en Pinos de Baire.
 , 1959,	Creación de las Milicias Nacionales Revolucionarias. El inolvidable Camilo Cienfuegos pronuncia su último discurso.
27,	1492,	Cristóbal Colón descubre la isla de Cuba.
28,	1812,	Nace en San Diego de Nuñez el novelista Cirilo Villaverde.
 , 1896,	El General Calixto García toma a Guáimaro.
 , 1959,	Desaparece el comandante Camilo Cienfuegos.
29,	1897,	Es aprobada la Constitución de la Yaya última de la república en armas.
 , 1956,	Son masacrados por la tiranía estudiantes que estaban refugiados en la Embajada de Haití.
31,	1897,	Salvador Cisneros Betancourt entrega la presidencia de la República en Armas a Bartolomé Masó.
 , 1958,	Camilo Cienfuegos al frente a la Columna No.2 toma el Cuartel de Venegas.
