Día,	Año,	Efemérides de Septiembre
1,	1851,	Es ejecutado en La Punta Narciso López.
2,	1960,	Es aprobada en Asamblea General del Pueblo la Primera Declaración de La Habana.
4,	1640,	Llega a las puertas de La Habana el pirata conocido como «Pata de Palo».
 , 1899,	Se constituye en La Habana la Liga General de los Trabajadores Cubanos.
5,	1957,	Alzamiento de Cienfuegos con la toma de Cayo Loco y que fue reprimido salvajemente por la tiranía.
11,	1844,	Nace el poeta José Joaquín Palma autor del Himno de Guatemala.
12,	1919,	Se hunde cerca del puerto de La Habana el vapor español «Valbanera».
13,	1895,	Asamblea constituyente de Jimaguayú.
14,	1959,	Es entregado el campamento militar de Columbia al Ministerio de Educación.
16,	1895,	Se firma la Constitución de Jimaguayú.
17,	1896,	Maceo llega a Remates de Guane.
 , 1958,	Son asesinadas por la tiranía Lydia Doce y Clodomira Ferrals.
19,	1837,	Nace Benito Viñes sabio que descubrió las Leyes de Circulación y Traslación de los huracanes de las Antillas.
21,	1953,	Se inicia el juicio contra los heroicos asaltantes al cuartel Moncada.
23,	1728,	Fundación y establecimiento de la Universidad de La Habana.
26,	1879,	Muere José Antonio Saco escritor y poeta reformista.
 , 1960,	El comandante Fidel Castro pronuncia su trascendental discurso en las Naciones Unidas.
27,	1958,	Es asesinado en la calle Hatuey Arroyo Apolo el capitán de milicia Fernando Alfonso Torice (Morúa).
28,	1852,	Ejecutan en garrote vil al patriota cubano Eduardo Facciolo Alba tipógrafo que confeccionó «La Voz del Pueblo Cubano».
29,	1906,	Segunda intervención militar yanqui en Cuba dirigida por Magoon.
30,	1930,	Asesinato del estudiante universitario Rafael Trejo por agentes machadistas.
